Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Sector Name,Sector,time
9234,Indiana Municipal Power Agency,62794.0,Centerville Solar Park,IN,Wayne,SCENT,Solar Photovoltaic,PV,,W,1.1, ,1.1,0.8, ,OP,X,10.0,2020.0,Electric Utility,1.0,2022
12341,MidAmerican Energy Co,62795.0,Ida Grove II,IA,Ida,1,Onshore Wind Turbine,WT,,S,201.0, ,200,200,0.1,OP,X,12.0,2019.0,Electric Utility,1.0,2022
59613,BayWa r.e. Solar Projects LLC,62798.0,Fern Solar LLC,NC,Edgecombe,FERN,Solar Photovoltaic,PV,,S,100.0,0.8,100,100, ,OP,X,12.0,2020.0,IPP Non-CHP,2.0,2022
62712,Winona Solar I LLC,62799.0,Winona Solar,MN,Winona,WIN,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,8.0,2019.0,IPP Non-CHP,2.0,2022
62711,Wabasha Solar LLC,62800.0,Wabasha Solar,MN,Wabasha,WAB,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,8.0,2019.0,IPP Non-CHP,2.0,2022
61522,"Viridity Energy Solutions, Inc.",62801.0,Vallecito,CA,Santa Barbara,ORN34,Batteries,BA,,S,10.0, ,10,10,0.1,OP,X,2.0,2021.0,IPP Non-CHP,2.0,2022
62705,Concho Bluff LLC,62804.0,Greasewood Solar,TX,Pecos,GREA1,Solar Photovoltaic,PV,,S,255.0, ,255,255, ,OP,X,2.0,2021.0,IPP Non-CHP,2.0,2022
60496,"Adapture Renewables, Inc.",62805.0,Bloomington Solar I,UT,Washington,BLOOM,Solar Photovoltaic,PV,,S,2.0, ,2,2, ,OP,X,12.0,2018.0,IPP Non-CHP,2.0,2022
62701,"Vista Solar, Inc.",62806.0,Shelter Creek Condominiums Solar,CA,San Mateo,SCC01,Solar Photovoltaic,PV,,W,2.5, ,2.4,1.1, ,OP,X,2.0,2020.0,IPP Non-CHP,2.0,2022
62659,BMP Wind LLC,62809.0,BMP Wind (TX),TX,Callahan,BMP,Onshore Wind Turbine,WT,,S,293.3, ,293.3,293.3,23,OP,X,12.0,2021.0,IPP Non-CHP,2.0,2022
64994,SolRiver Capital LLC,62810.0,"RIT Henrietta Solar 1, LLC",NY,Monroe,13500,Solar Photovoltaic,PV,,S,1.6, ,1.6,1.6, ,OP,X,12.0,2018.0,IPP Non-CHP,2.0,2022
63440,Milford Solar I (NES),62812.0,Milford Solar 1,UT,Beaver,MS1,Solar Photovoltaic,PV,,W,99.0, ,99,99, ,OP,X,11.0,2020.0,IPP Non-CHP,2.0,2022
5248,Dominion Energy Inc.,62813.0,Grasshopper Solar,VA,Mecklenburg,GRHS,Solar Photovoltaic,PV,,S,80.0,0.99,80,80, ,OP,X,9.0,2020.0,Electric Utility,1.0,2022
5248,Dominion Energy Inc.,62814.0,Sadler Solar,VA,Greensville,SADL,Solar Photovoltaic,PV,,S,100.0, ,100,100, ,OP,X,7.0,2021.0,Electric Utility,1.0,2022
5109,DTE Electric Company,62815.0,Fairbanks Wind Park,MI,Delta,GNWF1,Onshore Wind Turbine,WT,,S,72.8, ,72.8,72.8,37,OP,X,1.0,2022.0,Electric Utility,1.0,2022
65411,Duke Energy Renewables Services,62820.0,"Stony Knoll Solar, LLC",NC,Surry,GEN1,Solar Photovoltaic,PV,,W,22.6, ,22.6,22.6, ,OP,X,3.0,2022.0,IPP Non-CHP,2.0,2022
65411,Duke Energy Renewables Services,62821.0,"Speedway Solar NC, LLC",NC,Cabarrus,GEN1,Solar Photovoltaic,PV,,W,22.6, ,22.6,22.6, ,OP,X,12.0,2021.0,IPP Non-CHP,2.0,2022
65411,Duke Energy Renewables Services,62822.0,"Broad River Solar, LLC",NC,Cleveland,GEN1,Solar Photovoltaic,PV,,W,50.0, ,50,50, ,OP,X,12.0,2021.0,IPP Non-CHP,2.0,2022
62719,Green Street Power Partners,62824.0,"GSPP Devens, LLC",MA,Middlesex,DEVEN,Solar Photovoltaic,PV,,S,2.2, ,2.2,2.2, ,OP,X,1.0,2019.0,IPP Non-CHP,2.0,2022
62719,Green Street Power Partners,62825.0,GSPP Terrawatt Westfield LLC CSG,MA,Hampden,WESTF,Solar Photovoltaic,PV,,S,3.6, ,3.6,3.6, ,OP,X,2.0,2019.0,IPP Non-CHP,2.0,2022
