Utility ID,Utility Name,Plant Code,Plant Name,State,Zip,County,Latitude,Longitude,NERC Region,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,time
13938,Oak Creek Energy System Inc II,50754,Oak Creek Energy Systems I,CA,93501,Kern,35.043889,-118.276388,WECC,2,IPP Non-CHP,N,,Y,99-66-000,N,,2020
13938,Oak Creek Energy System Inc II,50754,Oak Creek Energy Systems I,CA,93501,Kern,35.043889,-118.276388,WECC,2,IPP Non-CHP,N,,Y,99-66-000,N,,2020
13938,Oak Creek Energy System Inc II,50754,Oak Creek Energy Systems I,CA,93501,Kern,35.043889,-118.276388,WECC,2,IPP Non-CHP,N,,Y,99-66-000,N,,2020
50131,Enel Stillwater LLC,50765,Stillwater Facility,NV,89406,Churchill,39.547537,-118.555613,WECC,2,IPP Non-CHP,N,,Y,87-039-000;  89-039-000,N,,2020
2770,Terra-Gen Operating Co-Wind,50820,East Winds Project,CA,92262,Riverside,33.890913,-116.541515,WECC,2,IPP Non-CHP,N,,Y,85-229-000,N,,2020
2770,Terra-Gen Operating Co-Wind,50821,Mojave 16/17/18,CA,93501,Kern,35.045,-118.2642,WECC,2,IPP Non-CHP,N,,Y,88-364-000,N,,2020
2770,Terra-Gen Operating Co-Wind,52142,Mojave 3/4/5,CA,93501,Kern,35.0506,-118.2572,WECC,2,IPP Non-CHP,N,,Y,88-384-000,N,,2020
64311,Wind Wall 1 LLC,52162,85 A,CA,93561,Kern,35.1011,-118.3372,WECC,2,IPP Non-CHP,N,,Y,85-687-000,N,,2020
64311,Wind Wall 1 LLC,52163,85 B,CA,93561,Kern,35.1011,-118.3372,WECC,2,IPP Non-CHP,N,,Y,85-686-000,N,,2020
7595,Great Lakes Hydro America LLC,54134,Great Lakes Hydro America - ME,ME,4462,Penobscot,45.647179,-68.704368,NPCC,2,IPP Non-CHP,N,,N,,Y,02-137-000,2020
7595,Great Lakes Hydro America LLC,54134,Great Lakes Hydro America - ME,ME,4462,Penobscot,45.647179,-68.704368,NPCC,2,IPP Non-CHP,N,,N,,Y,02-137-000,2020
1752,Biola University,54296,Biola University Hybrid,CA,90639,Los Angeles,33.906953,-118.013105,WECC,5,Commercial CHP,N,,N,,N,,2020
